P_sat0,P_sat1,P_sat2,P_sat3,Phi_sat0,Phi_sat1,Phi_sat2,Phi_sat3
14131.603175571476,14145.339968122093,14147.03153430914,14134.352302758398,19155.78817309253,22184.639580986284,23256.497847017534,19064.309982058872
14225.550902263225,14288.212779885951,13952.185298718767,13873.131623137817,19248.87088594334,22281.61297530729,22968.331219991647,18919.13097623348
14224.696050450963,14284.709349093906,13927.330788728696,13887.411096221223,19217.26498735125,22276.275507102997,22943.12811278809,18820.98469402269
14197.417851376527,14292.642631816658,13919.415541272161,13867.055285022452,19201.696510099493,22281.021360441897,22955.500690760364,18823.235306964336
14219.180231656062,14285.7121499914,13926.867912971187,13863.468325885153,19310.964634693853,22212.669565506414,22933.122318843518,18916.633404434167
14211.59586824245,14293.53282432666,13941.536204657892,13884.851635112309,19165.933565239557,22270.570586694987,22871.4129758571,18894.7853681587
14243.778282534942,14277.867138662692,13920.503206909516,13880.243120659266,19127.40335974064,22416.499097683823,22885.724680406485,18850.658608460155
14223.503836426542,14282.291563796312,13943.507902677318,13883.260152651332,19217.294277687615,22222.039317375864,22856.94890995177,18868.766612852214
14225.324598297973,14279.084080331782,13907.55627442588,13881.48217185042,19181.93905331485,22330.987336364684,22927.798570779363,18999.07224555005
14250.99434976357,14262.317293522692,13911.232529339824,13860.095452890406,19205.691862629505,22393.648256087643,22980.935471397144,18789.127223331605
14214.72694866478,14272.09807747461,13924.090452556167,13898.275722536606,19153.07333719441,22228.3304275967,22836.743236876362,18951.496562193366
14211.903286323442,14250.529973295317,13906.575618175431,13877.091731603101,19170.903304874104,22196.43968210329,22935.669327605654,18920.288039397597
14199.364737264497,14247.567952443258,13900.197896039504,13884.132822754946,19323.6367648581,22226.654910406083,22948.385638192143,18858.734553565606
14211.795866992468,14249.57391667911,13880.285725216114,13889.648837782423,19227.04035694651,22155.109405058254,22865.641407538147,18895.729326000674
14200.224805801208,14254.45580798429,13898.988379062188,13882.835136035766,19186.741088449657,22183.55580075025,22856.2716609627,18838.39588221248
14208.999654194507,14246.506382101305,13866.921105903986,13909.38091640691,19114.286689224846,22193.41971760705,22899.618800419423,18914.197526943815
14204.359343510856,14254.520733216686,13910.202050507502,13919.406290298406,19284.6939190894,22249.853072867754,22953.57481377959,18950.291554668816
14226.107441855576,14250.198192217676,13893.35454434215,13931.318675420309,19243.204335745995,22258.645661823204,22929.658255981947,18877.117618588705
14227.571446890144,14247.789904346988,13883.664838178645,13901.346033868509,19210.32178142952,22275.298474888397,22868.58911292872,18901.84220045879
14200.803657955448,14260.190684658619,13869.216551557374,13882.540116505932,19171.164483964778,22233.26157926966,22818.673162576524,18883.527942705663
14196.815413172664,14227.566053348828,13861.117044921655,13889.230983407664,19167.54283420964,22318.31625552547,22865.993131956508,18989.605521427424
14185.65508614982,14200.171055445971,13878.326032411705,13891.661451316459,19189.450741016975,22246.805958370824,23012.758909575947,18965.979769115715
14202.770928045424,14238.812611060239,13869.462619275986,13909.163075677048,19199.323118390756,22206.351619277226,22907.605353154202,18917.261470846242
14156.215299230726,14211.312830672807,13839.200477263801,13892.546011266462,19180.812269236958,22286.43314968506,22813.536990092834,18903.312684398603
14156.945896066623,14178.864578691422,13826.944043877367,13878.312038842194,19160.540661150477,22221.810194670128,22815.513523175156,18827.47637809025
14174.476484952913,14192.48636994266,13844.04292731447,13880.842682678287,19110.71026863816,22206.33819877172,22891.393602484914,18851.262326807908
14149.259244851452,14209.660114865752,13843.041795127985,13908.263635296922,19186.749817836644,22150.528996062418,22822.472821757696,18891.819515469917
